X,Y,ID,ISTAT_CODE,ASCOT_CODE,FRAC_CODE,FRAC_DE,FRAC_IT,STREET_ID,STREET_DE,STREET_IT,HOUSE_NR,LABEL_DE,LABEL_IT,HOUSE_DE,HOUES_IT,NOTE,MUNIC_DE,MUNIC_IT,MUNIC_LLD,ZIP_CODE,COORD_X,COORD_Y
11.5654120062186,46.4975483649191,4776203.000000000000000,21031.000000000000000,4742.000000000000000,5.000000000000000,UMS,UMES,14.000000000000000,SCHLERNSTRASSE,VIA SCILIAR,50,SCHLERNSTRASSE 50,VIA SCILIAR 50,,,,VÖLS AM SCHLERN,FIE' ALLO SCILIAR,,39050,696854.396724237943999,5152528.633744340389967
11.5668366304461,46.4976639194349,4776201.000000000000000,21031.000000000000000,4740.000000000000000,5.000000000000000,UMS,UMES,14.000000000000000,SCHLERNSTRASSE,VIA SCILIAR,51,SCHLERNSTRASSE 51,VIA SCILIAR 51,,,,VÖLS AM SCHLERN,FIE' ALLO SCILIAR,,39050,696963.292624581023119,5152545.026675580069423
11.5870808785049,46.5028217970668,4777172.000000000000000,21031.000000000000000,4295.000000000000000,5.000000000000000,UMS,UMES,14.000000000000000,SCHLERNSTRASSE,VIA SCILIAR,52,SCHLERNSTRASSE 52,VIA SCILIAR 52,,,,VÖLS AM SCHLERN,FIE' ALLO SCILIAR,,39050,698497.874528788030148,5153168.833149289712310
11.535175917335,46.5054892581775,4777046.000000000000000,21031.000000000000000,4273.000000000000000,5.000000000000000,UMS,UMES,14.000000000000000,SCHLERNSTRASSE,VIA SCILIAR,47,SCHLERNSTRASSE 47,VIA SCILIAR 47,,,,VÖLS AM SCHLERN,FIE' ALLO SCILIAR,,39050,694506.000000428990461,5153336.000015240162611
11.5814158591407,46.5058832986272,4777173.000000000000000,21031.000000000000000,4296.000000000000000,5.000000000000000,UMS,UMES,14.000000000000000,SCHLERNSTRASSE,VIA SCILIAR,53,SCHLERNSTRASSE 53,VIA SCILIAR 53,,,,VÖLS AM SCHLERN,FIE' ALLO SCILIAR,,39050,698052.106741124996915,5153494.768763739615679
11.5744522659812,46.5072902941227,4777170.000000000000000,21031.000000000000000,4297.000000000000000,5.000000000000000,UMS,UMES,14.000000000000000,SCHLERNSTRASSE,VIA SCILIAR,54,SCHLERNSTRASSE 54,VIA SCILIAR 54,,,,VÖLS AM SCHLERN,FIE' ALLO SCILIAR,,39050,697512.763253128039651,5153633.651686069555581
11.5747391891785,46.5073909035597,4776202.000000000000000,21031.000000000000000,4741.000000000000000,5.000000000000000,UMS,UMES,14.000000000000000,SCHLERNSTRASSE,VIA SCILIAR,55,SCHLERNSTRASSE 55,VIA SCILIAR 55,,,,VÖLS AM SCHLERN,FIE' ALLO SCILIAR,,39050,697534.410639551002532,5153645.548550140112638
11.5361916983783,46.5189127116712,4777357.000000000000000,21031.000000000000000,2163.000000000000000,13.000000000000000,ST.ANTON,S.ANTONIO,2.000000000000000,WEIHERSTRASSE,VIA LAGHETTO,31,WEIHERSTRASSE 31,VIA LAGHETTO 31,,,TUFFALM,VÖLS AM SCHLERN,FIE' ALLO SCILIAR,,39050,694536.000003186054528,5154829.999973610043526
11.5336392063908,46.5330777539625,4776924.000000000000000,21031.000000000000000,4001.000000000000000,4.000000000000000,ST.KONSTANTIN,S.COSTANTINO,29.000000000000000,DOLOMITENWEG,VIA DOLOMITI,10,DOLOMITENWEG 10,VIA DOLOMITI 10,,,,VÖLS AM SCHLERN,FIE' ALLO SCILIAR,,39050,694289.680684383027256,5156397.609235259704292
11.5276770230764,46.5009033237438,4777778.000000000000000,21031.000000000000000,4258.000000000000000,5.000000000000000,UMS,UMES,37.000000000000000,TSCHAFONWEG,VIA CAVONE,24,TSCHAFONWEG 24,VIA CAVONE 24,,VIOLER,,VÖLS AM SCHLERN,FIE' ALLO SCILIAR,,39050,693946.999991304008290,5152808.000026360154152
11.5277259690286,46.529580401315,4776622.000000000000000,21031.000000000000000,4140.000000000000000,4.000000000000000,ST.KONSTANTIN,S.COSTANTINO,28.000000000000000,H.-MUMELTER-WEG,VIA H.MUMELTER,34,H.-MUMELTER-WEG 34,VIA H.MUMELTER 34,,,,VÖLS AM SCHLERN,FIE' ALLO SCILIAR,,39050,693848.695474697044119,5155994.467901170253754
11.5293655751652,46.5299852074711,4777620.000000000000000,21031.000000000000000,4092.000000000000000,4.000000000000000,ST.KONSTANTIN,S.COSTANTINO,28.000000000000000,H.-MUMELTER-WEG,VIA H.MUMELTER,28,H.-MUMELTER-WEG 28,VIA H.MUMELTER 28,,,,VÖLS AM SCHLERN,FIE' ALLO SCILIAR,,39050,693972.988926509045996,5156043.476151970215142
11.5280157698267,46.5300504744165,4776572.000000000000000,21031.000000000000000,4076.000000000000000,4.000000000000000,ST.KONSTANTIN,S.COSTANTINO,28.000000000000000,H.-MUMELTER-WEG,VIA H.MUMELTER,31,H.-MUMELTER-WEG 31,VIA H.MUMELTER 31,,,,VÖLS AM SCHLERN,FIE' ALLO SCILIAR,,39050,693869.245681363041513,5156047.410491690039635
11.5307792132998,46.5300135209438,4777218.000000000000000,21031.000000000000000,4051.000000000000000,4.000000000000000,ST.KONSTANTIN,S.COSTANTINO,28.000000000000000,H.-MUMELTER-WEG,VIA H.MUMELTER,35,H.-MUMELTER-WEG 35,VIA H.MUMELTER 35,,,,VÖLS AM SCHLERN,FIE' ALLO SCILIAR,,39050,694081.293955832021311,5156050.098466199822724
